Testing
Get agent
model parameters: 
4056849
Setup GPU mode
Testing loop
         28797622 function calls (26579340 primitive calls) in 100.828 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      912    0.004    0.000    0.021    0.000 basic.py:134(ones)
      195    0.021    0.000    0.021    0.000 {built-in method zeros}
     2736    0.001    0.000    0.021    0.000 dims.py:52(atleast_2d)
        1    0.000    0.000    0.021    0.021 text.py:3(<module>)
        1    0.000    0.000    0.020    0.020 __init__.py:629(<module>)
        1    0.019    0.019    0.020    0.020 colorconv.py:50(<module>)
     1747    0.001    0.000    0.020    0.000 artist.py:1356(is_alias)
      229    0.000    0.000    0.020    0.000 sre_compile.py:598(_code)
      912    0.020    0.000    0.020    0.000 {built-in method cupy.core._routines_linalg.matmul}
     3949    0.008    0.000    0.020    0.000 {built-in method builtins.sum}
     1199    0.011    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     2736    0.008    0.000    0.020    0.000 dims.py:18(_atleast_nd_helper)
     5661    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     3415    0.005    0.000    0.020    0.000 __init__.py:247(__init__)
       20    0.000    0.000    0.020    0.001 util_hourglass.py:137(__init__)
       16    0.000    0.000    0.019    0.001 util_hourglass.py:99(__init__)
     3080    0.006    0.000    0.019    0.000 tokenize.py:487(_tokenize)
      316    0.001    0.000    0.019    0.000 overrides.py:166(decorator)
        2    0.000    0.000    0.018    0.009 config.py:1(<module>)
     1702    0.008    0.000    0.018    0.000 PngImagePlugin.py:921(load_end)
     5775    0.018    0.000    0.018    0.000 {built-in method posix.stat}
    12046    0.008    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        1    0.000    0.000    0.018    0.018 __init__.py:18(<module>)
        1    0.000    0.000    0.018    0.018 _basic.py:5(<module>)
      358    0.002    0.000    0.018    0.000 _util.py:289(getfullargspec_no_self)
        1    0.000    0.000    0.018    0.018 fontconfig_pattern.py:6(<module>)
        1    0.000    0.000    0.017    0.017 orthogonal.py:72(<module>)
    45810    0.017    0.000    0.017    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.017    0.017 _rotation_groups.py:1(<module>)
        1    0.000    0.000    0.017    0.017 __init__.py:193(<module>)
      912    0.016    0.000    0.017    0.000 {method 'fill' of 'cupy.core.core.ndarray' objects}
        1    0.000    0.000    0.017    0.017 __init__.py:317(<module>)
     1909    0.016    0.000    0.016    0.000 {built-in method tensor}
       12    0.000    0.000    0.016    0.001 util_hourglass.py:170(__init__)
        2    0.000    0.000    0.016    0.008 __init__.py:72(<module>)
     2280    0.002    0.000    0.016    0.000 <__array_function__ internals>:2(argsort)
       12    0.000    0.000    0.016    0.001 artist.py:1242(__init__)
       12    0.001    0.000    0.016    0.001 artist.py:1262(get_aliases)
        1    0.000    0.000    0.016    0.016 codata.py:51(<module>)
    13860    0.006    0.000    0.015    0.000 _binary.py:74(i32be)
     2398    0.006    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
       28    0.003    0.000    0.015    0.001 __init__.py:794(_rc_params_in_file)
     1702    0.010    0.000    0.015    0.000 PngImagePlugin.py:408(chunk_IHDR)
      558    0.015    0.000    0.015    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.015    0.015 pyparsing.py:96(<module>)
     4712    0.006    0.000    0.015    0.000 numerictypes.py:360(issubdtype)
        1    0.000    0.000    0.015    0.015 request.py:68(<module>)
     3417    0.006    0.000    0.014    0.000 _utils.py:5(_get_device_index)
        4    0.013    0.003    0.014    0.004 codata.py:1498(parse_constants_2002to2014)
 1494/229    0.005    0.000    0.014    0.000 sre_compile.py:71(_compile)
     1702    0.007    0.000    0.013    0.000 Image.py:419(_getdecoder)
        1    0.000    0.000    0.013    0.013 compiler.py:1(<module>)
      516    0.000    0.000    0.013    0.000 re.py:182(search)
      370    0.007    0.000    0.013    0.000 doccer.py:177(indentcount_lines)
    24119    0.009    0.000    0.012    0.000 {built-in method builtins.hasattr}
     1702    0.004    0.000    0.012    0.000 PngImagePlugin.py:189(crc)
    11932    0.012    0.000    0.012    0.000 {method 'transpose' of 'numpy.ndarray' objects}
    26262    0.012    0.000    0.012    0.000 {method 'read' of '_io.BytesIO' objects}
      117    0.001    0.000    0.012    0.000 _distn_infrastructure.py:685(_construct_argparser)
     2633    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:403(cached)
      117    0.001    0.000    0.012    0.000 _distn_infrastructure.py:605(__init__)
     5103    0.012    0.000    0.012    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
     2280    0.002    0.000    0.012    0.000 fromnumeric.py:999(argsort)
        1    0.000    0.000    0.012    0.012 client.py:69(<module>)
    62016    0.012    0.000    0.012    0.000 fromnumeric.py:2100(_sum_dispatcher)
        1    0.000    0.000    0.012    0.012 _minimize.py:8(<module>)
    64307    0.011    0.000    0.011    0.000 {method 'items' of 'dict' objects}
     3042    0.003    0.000    0.011    0.000 <__array_function__ internals>:2(can_cast)
